,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
36,32.36,32.36,32.36,33.8,32.684,32.36,32.36,34.106,32.36,32.36,32.36,34.772,32.36,32.36,32.36,32.36,32.36,36.122,32.702,32.36,32.36,35.222,33.728,32.36,32.36,35.636,34.43,32.36,33.494,35.69
37,34.34,32.36,32.36,34.304,32.702,32.36,32.36,33.998,32.36,32.36,32.36,34.772,32.36,32.36,32.36,32.36,32.36,36.248,32.72,32.36,32.36,35.15,33.53,32.36,32.54,35.528,33.998,32.36,33.746,35.888
38,32.36,32.36,32.324,34.394,32.756,32.36,32.36,33.998,32.36,32.36,32.414,34.088,32.36,32.36,32.36,32.36,32.36,36.266,32.648,32.36,32.36,35.132,33.458,32.36,32.504,35.366,33.638,32.486,33.782,35.996
39,32.36,32.36,32.36,34.304,32.81,32.36,32.36,33.998,32.36,32.36,32.36,33.98,32.36,32.36,32.36,32.36,32.36,36.014,32.774,32.36,32.36,35.132,33.332,32.36,32.486,35.168,33.494,32.522,33.998,36.014
40,32.36,32.36,32.36,34.07,32.846,32.36,32.36,34.124,32.36,32.36,32.36,33.944,32.36,32.36,32.36,32.36,32.36,35.816,32.666,32.36,32.36,35.096000000000004,33.944,32.36,32.36,35.06,32.576,32.504,34.142,36.032000000000004
41,32.36,32.36,32.36,33.872,33.026,32.36,32.36,33.854,32.36,32.36,32.36,33.818,32.36,32.36,32.36,32.36,32.36,35.708,32.504,32.36,32.36,34.97,34.052,32.36,32.36,35.006,32.684,32.468,34.394,36.068
42,32.36,32.36,32.36,33.638,33.08,32.36,32.36,33.62,32.36,32.36,32.36,33.728,32.36,32.36,32.36,32.36,32.36,35.492,32.612,32.36,32.36,34.754,34.106,32.36,32.36,34.97,32.684,32.45,34.88,36.122
43,32.36,32.36,32.36,33.476,33.098,32.36,32.36,33.53,32.36,32.36,32.36,33.602,32.36,32.36,32.36,32.36,32.36,35.186,32.792,32.36,32.36,34.628,34.034,32.36,32.36,34.862,32.738,32.558,35.006,36.05
44,32.36,32.36,32.36,33.422,32.846,32.36,32.36,33.44,32.36,32.36,32.36,33.476,32.36,32.36,32.36,32.36,32.36,34.7,32.738,32.36,32.36,33.53,33.836,32.36,32.36,34.7,32.702,32.432,34.97,36.032000000000004
45,32.36,32.36,32.36,33.386,32.846,32.36,32.36,33.458,32.36,32.36,32.36,33.44,32.36,32.36,32.36,32.36,32.36,34.628,32.774,32.36,32.36,32.792,33.944,32.36,32.36,34.61,32.63,32.36,34.988,35.996
46,32.36,32.36,32.36,33.584,32.846,32.36,32.36,33.422,32.36,32.36,32.36,33.386,32.36,32.36,32.36,32.36,32.486,34.61,32.666,32.36,32.36,32.54,34.106,32.36,32.36,34.484,32.576,32.36,35.096000000000004,35.888
47,32.36,32.36,32.36,33.8,32.864,32.36,32.36,33.458,32.36,32.36,32.36,33.674,32.36,32.36,32.36,32.36,32.54,34.844,32.666,32.36,32.36,32.756,34.394,32.36,32.36,34.484,32.558,32.36,35.006,35.834
48,32.36,32.36,32.36,33.962,32.864,32.36,32.36,33.494,32.36,32.36,32.36,33.152,32.36,32.36,32.36,32.36,32.36,34.916,32.504,32.36,32.36,32.792,34.664,32.36,32.36,34.412,32.522,32.36,34.898,35.672
49,32.36,32.36,32.36,34.322,32.864,32.36,32.36,33.512,32.36,32.36,32.36,33.134,32.36,32.36,32.36,32.36,32.36,34.952,32.522,32.36,32.36,32.684,35.006,32.36,32.36,34.466,32.486,32.36,34.808,35.492
50,32.36,32.36,32.36,34.664,32.864,32.36,32.36,33.512,32.36,32.36,32.36,33.098,32.36,32.36,32.36,32.36,32.756,34.88,32.504,32.36,32.36,32.972,35.294,32.684,32.36,34.466,32.504,32.36,34.844,35.33
51,32.36,32.36,32.36,34.97,32.36,32.36,32.36,33.548,32.36,32.36,32.36,33.08,32.36,32.36,32.36,32.36,32.792,34.736,32.522,32.36,32.36,33.188,35.222,32.72,32.36,34.412,32.468,32.36,34.862,35.6
52,32.36,32.36,32.36,35.096000000000004,32.36,32.36,32.36,33.638,32.36,32.36,32.36,32.81,32.36,32.36,32.36,32.36,32.774,34.772,32.522,32.432,32.36,33.17,35.33,32.792,32.36,34.268,32.486,32.36,34.916,35.69
53,32.36,32.36,32.36,35.204,32.36,32.36,32.36,33.638,32.36,32.36,32.36,32.828,32.36,32.36,32.36,32.36,32.72,34.844,32.36,32.414,32.36,33.512,35.888,32.396,32.36,34.61,32.432,32.378,34.988,35.672
54,32.36,32.36,32.36,35.33,32.36,32.36,32.36,33.638,32.36,32.36,32.36,32.882,32.36,32.36,32.36,32.36,32.36,34.916,32.36,32.36,32.36,33.584,36.32,32.36,32.36,34.772,32.414,32.522,35.042,35.546
55,32.36,32.36,32.36,35.366,32.36,32.36,32.36,34.124,32.36,32.36,32.36,32.666,32.36,32.36,32.36,32.36,32.36,34.97,32.36,32.45,32.36,33.314,36.248,32.36,32.36,34.862,32.522,32.36,35.132,35.474000000000004
56,32.36,32.36,32.36,35.402,32.36,32.36,32.36,34.574,32.36,32.36,32.36,32.666,32.36,32.36,32.36,32.36,32.36,35.006,32.396,32.36,32.36,33.134,35.906,33.098,32.36,34.79,32.522,32.486,35.186,35.492
